49,49
49,48
49,47
48,46
47,46
46,45
45,46
44,47
44,48
43,49
43,50
43,51
44,52
44,53
45,53
46,53
47,54
48,55
49,56
50,57
51,58
52,59
51,59
50,60
49,61
48,61
47,60
46,59
45,58
45,57
44,56
44,55
43,54
42,54
41,54
40,53
39,52
39,51
38,50
38,49
39,48
39,47
39,46
39,45
39,44
38,43
39,42
39,41
40,40
41,39
41,38
42,37
43,36
43,35
42,34
41,35
40,36
39,37
38,36
38,35
37,34
38,33
38,32
37,31
38,30
38,29
37,28
38,27
39,26
40,25
41,25
42,24
43,24
44,25
45,24
46,24
47,24
48,25
49,26
50,25
51,25
52,24
53,25
54,25
55,24
56,25
57,24
57,23
56,22
57,21
56,20
55,19
54,19
53,18
52,17
51,18
50,19
49,19
